q,firm_id,firm_idx,is_active,is_dormant,defaulted,net_sales,units_sold,units_produced,cash,capability,brand,rd_cum_product,product_gen,geo_focus,patient_seg
1,firm_0,0,True,False,False,37500000.0,250,0,90221666.66666667,57.945,57.74625,12000000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
1,firm_1,1,True,False,False,37500000.0,250,0,83747708.33333333,58.763999999999996,59.76876,21000000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
1,firm_2,2,True,False,False,8750000.0,250,0,153552250.0,56.55,48.86712000000001,0.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
1,firm_3,3,True,True,False,0.0,0,0,35000000.0,48.0,42.0,0.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
1,firm_4,4,True,False,False,11250000.0,250,0,67333125.0,43.875,52.50375,0.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
1,firm_5,5,True,True,False,0.0,0,0,5000000.0,40.0,10.0,0.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
2,firm_0,0,True,False,False,18750000.0,250,0,71765241.3128492,59.187895,63.31992907528125,20000000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
2,firm_1,1,True,False,False,28200000.0,188,0,32558875.2869768,63.727715999999994,64.73198158800841,40500000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
2,firm_2,2,True,False,False,12500000.0,250,0,143932000.0,56.35285,46.99486384947,3500000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
2,firm_3,3,True,True,False,0.0,0,0,35000000.0,48.0,42.0,0.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
2,firm_4,4,True,False,False,11875000.0,250,0,46153750.0,42.778124999999996,63.11704828710937,0.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
2,firm_5,5,True,False,False,25000000.0,250,0,33332291.666666668,39.0,15.48,0.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
3,firm_0,0,True,False,False,17500000.0,250,0,169077994.88391796,62.605650225,70.30712047183741,35000000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
3,firm_1,1,True,False,False,37500000.0,250,0,407437102.42561245,62.134523099999996,61.37725941668108,40500000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
3,firm_2,2,True,False,False,11250000.0,250,0,507617204.85921013,56.41057298999999,45.85736361993707,7700000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
3,firm_3,3,True,True,False,0.0,0,0,35000000.0,48.0,42.0,0.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
3,firm_4,4,True,False,False,11875000.0,250,0,458355625.0,45.82864687499999,64.08286993860051,9000000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
3,firm_5,5,True,False,False,25000000.0,250,0,35095833.333333336,38.025,19.370862000000002,0.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
